id_siswa,nama,kelas,mata_pelajaran,jenis_ujian,tanggal_ujian,nilai,guru_pengampu,status_kelulusan
SIS0004,Joko Prasetyo,XI RPL 2,KKA,UAS,06/08/2026,46.0,Ibu Wati,Remidi
SIS0020,Eka Putri,XI RPL 1,PKK,UTS,12 Agustus 2026,73.0,Bpk. Santoso,Lulus
SIS0015,Nanda Pratama,XI RPL 3,Pemrograman Web,UAS,2026-08-15,69.0,Bpk. Santoso,Remidi
SIS0046,Fajar Nugroho,XI RPL 2,Matematika,UH,10/08/2026,73.0,Bpk. Arifin,Lulus
SIS0011,Ayu Lestari,XI RPL 2,Pemrograman Web,UH,6 Agustus 2026,53.0,Ibu Wati,Remidi
SIS0056,Maya Anggraini,XI RPL 2,PKK,UTS,08/08/2026,42.0,Bpk. Santoso,Remidi
SIS0024,Gita Ramadhani,XI RPL 3,Bahasa Inggris,UTS,19/08/2026,45.0,Ibu Wati,Remidi
SIS0030,Indah Permata,XI RPL 1,Pemrograman Web,UAS,11/08/2026,74.0,Ibu Wati,Lulus
SIS0025,Putri Amelia,XI RPL 1,Pemrograman Web,UH,2026-08-20,98.0,Belum Terdata,Lulus
SIS0014,Eka Putri,XI RPL 1,PKK,UH,3 Agustus 2026,56.0,Ibu Wati,Remidi
SIS0023,Hendra Wijaya,XI RPL 1,Bahasa Inggris,UTS,2026-08-16,64.5,Bpk. Arifin,Remidi
SIS0059,Citra Ningrum,XI RPL 3,Bahasa Inggris,UAS,2026-08-05,56.0,Bpk. Arifin,Remidi
SIS0018,Lukman Hakim,XI RPL 3,Matematika,UH,10 Agustus 2026,64.5,Bpk. Arifin,Remidi
SIS0032,Fajar Nugroho,XI RPL 3,Matematika,UH,2026-08-09,79.0,Belum Terdata,Lulus
SIS0040,Lukman Hakim,XI RPL 1,Pemrograman Web,UAS,19 Agustus 2026,64.0,Bpk. Santoso,Remidi
SIS0041,Joko Prasetyo,XI RPL 3,Matematika,UH,2026-08-11,56.0,Ibu Wati,Remidi
SIS0012,Hendra Wijaya,XI RPL 2,Basis Data,UTS,2026-08-05,65.0,Belum Terdata,Remidi
SIS0043,Putri Amelia,XI RPL 3,Pemrograman Web,UH,2026-08-12,67.0,Bpk. Arifin,Remidi
SIS0009,Rina Marlina,XI RPL 3,Pemrograman Web,UTS,16 Agustus 2026,44.0,Bpk. Arifin,Remidi
SIS0002,Gita Ramadhani,XI RPL 1,Matematika,UTS,2026-08-18,45.0,Bpk. Rendi,Remidi
SIS0008,Dedi Saputra,XI RPL 3,Basis Data,UH,2026-08-15,66.0,Bpk. Rendi,Remidi
SIS0003,Satria Nugraha,XI RPL 1,KKA,UAS,4 Agustus 2026,54.0,Ibu Wati,Remidi
SIS0022,Lukman Hakim,XI RPL 1,Pemrograman Web,UH,2026-08-15,91.0,Ibu Dewi,Lulus
SIS0058,Lukman Hakim,XI RPL 1,Basis Data,UTS,2026-08-04,64.5,Ibu Dewi,Remidi
SIS0063,Gita Ramadhani,XI RPL 3,Basis Data,UTS,13 Agustus 2026,69.0,Bpk. Santoso,Remidi
SIS0050,Maya Anggraini,XI RPL 2,Matematika,UH,2026-08-03,67.0,Bpk. Rendi,Remidi
SIS0065,Indah Permata,XI RPL 2,KKA,UH,2026-08-05,87.0,Bpk. Arifin,Lulus
SIS0070,Citra Ningrum,XI RPL 2,Basis Data,UTS,04/08/2026,43.0,Bpk. Arifin,Remidi
SIS0026,Dedi Saputra,XI RPL 2,PKK,UH,2026-08-20,90.0,Bpk. Rendi,Lulus
SIS0044,Ayu Lestari,XI RPL 3,Matematika,UTS,2026-08-05,56.0,Ibu Dewi,Remidi
SIS0048,Qori Ramadhan,XI RPL 3,KKA,UAS,2026-08-20,46.0,Ibu Dewi,Remidi
SIS0033,Budi Santoso,XI RPL 2,PKK,UAS,2026-08-20,55.0,Bpk. Rendi,Remidi
